Year,Host City,Host Country
,Athens,Greece
,Paris,France
,St. Louis,United States
,London,United Kingdom
,Stockholm,Sweden
†,Berlin,Germany
,Antwerp,Belgium
,Chamonix,France
,Paris,S008VIII
,St. Moritz,Switzerland
,Amsterdam,Netherlands
,Lake Placid,United States
,Los Angeles,S010X
,Garmisch-Partenkirchen,Germany
,Berlin,S011XI
†,SapporoGarmisch-Partenkirchen,JapanGermany
†,TokyoHelsinki,JapanFinland
†,Cortina d'Ampezzo,Italy
†,London,United Kingdom
,St. Moritz,Switzerland
,London,United Kingdom
,Oslo,Norway
,Helsinki,Finland
,Cortina d'Ampezzo,Italy
,MelbourneStockholm,AustraliaSweden
,Squaw Valley,United States
,Rome,Italy
,Innsbruck,Austria
,Tokyo,Japan
,Grenoble,France
,Mexico City,Mexico
,Sapporo,Japan
,Munich,West Germany
,Innsbruck,Austria
,Montreal,Canada
,Lake Placid,United States
,Moscow,Soviet Union
,Sarajevo,Yugoslavia
,Los Angeles,United States
,Calgary,Canada
,Seoul,South Korea
,Albertville,France
,Barcelona,Spain
,Lillehammer,Norway
,Atlanta,United States
,Nagano,Japan
,Sydney,Australia
,Salt Lake City,United States
,Athens,Greece
,Turin,Italy
,Beijing,China
,Vancouver,Canada
,London,United Kingdom
,Sochi,Russia
,Rio de Janeiro,Brazil
,Pyeongchang,South Korea
§,Tokyo,Japan
,Beijing,China
,Paris,France
,MilanCortina d'Ampezzo,Italy
,Los Angeles,United States
,French Alps,France
,Brisbane,Australia
,Salt Lake City,United States
